30
30 2768
383 59 80
165 27 13
852 55 48
208 37 58
450 42 86
510 10 68
314 21 85
463 54 93
703 79 90
471 39 55
563 30 18
418 56 78
453 52 74
535 30 76
729 1 57
62 76 24
220 11 85
604 67 81
280 92 5
870 46 47
225 38 16
923 64 7
408 4 85
74 6 57
942 78 91
93 73 54
360 64 3
665 25 28
701 95 63
366 14 64
2773



44 11650
59 27 31
918 60 80
356 51 65
734 39 15
51 28 66
890 89 19
187 50 51
819 44 56
131 88 22
685 43 5
894 21 33
474 51 67
468 99 49
927 19 85
988 30 28
105 23 42
297 74 47
950 46 25
73 24 82
751 79 72
584 67 9
611 84 18
820 58 76
989 42 90
699 26 31
660 83 15
280 3 65
799 39 68
573 94 75
76 40 28
845 71 21
765 34 52
768 38 46
107 29 65
659 31 32
564 25 20
943 41 41
680 47 76
73 78 28
396 4 89
418 74 18
488 15 70
699 93 91
789 89 45
7642



43 3453
741 99 14
82 37 1
693 56 14
989 86 17
246 44 69
558 24 37
340 56 69
539 48 17
164 62 86
317 28 16
521 95 98
299 3 8
644 20 4
29 20 85
613 19 62
978 46 26
242 36 55
519 12 14
483 20 52
969 91 75
144 38 28
977 47 91
178 94 42
615 91 4
341 31 36
831 92 30
552 19 16
609 8 92
602 1 84
855 81 82
560 67 28
284 88 82
577 63 71
705 80 51
834 63 45
517 18 80
774 65 28
222 42 73
591 53 30
361 38 47
73 32 13
602 6 24
753 6 43
2207



40 5085
290 58 84
383 64 77
449 47 9
825 4 8
164 54 34
258 55 69
351 53 22
261 25 63
480 38 23
571 21 76
120 38 25
398 98 64
569 35 94
758 85 88
291 64 4
242 96 6
717 98 21
365 8 1
39 3 33
216 90 26
544 87 27
321 70 66
838 76 56
694 69 20
745 59 67
329 97 61
600 24 42
174 85 23
560 75 30
236 36 95
316 36 45
685 22 97
620 96 93
366 40 21
500 3 29
4 62 48
333 71 6
718 61 66
847 37 3
41 76 95
10659



37 12048
406 60 38
335 75 6
377 70 71
2 67 24
835 22 67
831 93 56
136 81 90
649 89 60
738 78 84
844 95 58
209 98 99
800 79 89
645 95 25
559 11 63
2 6 5
381 83 63
697 20 11
204 81 55
699 75 70
780 60 97
222 53 75
130 79 68
237 4 42
774 19 97
307 58 70
269 65 84
553 36 95
204 15 76
474 1 18
443 11 4
196 86 36
277 34 57
885 87 27
358 15 79
219 92 1
127 89 24
849 43 11
9180



47 4547
239 3 2
385 99 65
787 51 79
933 38 58
322 62 4
240 13 39
775 58 20
213 16 98
225 75 35
110 93 59
671 93 34
637 12 26
320 19 89
217 48 84
352 86 84
344 68 51
866 99 72
47 34 29
33 3 86
33 16 24
309 68 58
200 26 45
244 68 50
776 92 94
489 56 10
351 86 29
145 88 7
840 25 93
875 62 60
51 60 10
386 29 4
656 90 80
264 16 60
394 10 99
9 9 8
778 56 77
186 68 17
577 88 28
172 47 44
643 33 64
850 20 8
405 39 63
909 83 65
299 9 71
691 75 78
68 83 16
858 10 7
4418



46 17290
922 92 81
400 75 48
440 37 62
828 96 54
907 92 60
699 45 87
724 13 88
594 46 88
137 50 11
636 28 78
228 57 3
329 16 48
581 24 16
349 21 93
467 88 73
208 87 15
230 45 41
228 34 70
977 33 47
922 26 26
380 80 9
835 60 39
515 58 76
